county,capital,capital_year_est,area_km,population_2008
Bomi,Tubmanburg,1984,1932,84119
Bong,Gbarnga,1964,8754,333481
Gbarpolu,Bopulu,2001,9953,83388
Grand Bassa,Buchanan,1847,7814,221693
Grand Cape Mount,Robertsport,1856,4781,127076
Grand Gedeh,Zwedru,1964,10855,125258
Grand Kru,Barclayville,1984,3895,57913
Lofa,Voinjama,1964,9982,276863
Margibi,Kakata,1985,2691,209923
Maryland,Harper,1857,2297,135938
Montserrado,Bensonville,1847,1880,1118241
Nimba,Sanniquellie,1964,11551,462026
Rivercess,Rivercess,1985,5564,71509
River Gee,Fish Town,2000,5113,66789
Sinoe,Greenville,1847,9764,102391
